RES;2017-10-10 17:27:24.397071;1;0
RES;2017-10-10 17:27:30.410019;1;1
RES;2017-10-10 17:27:36.426569;1;2
RES;2017-10-10 17:27:42.444318;1;3
RES;2017-10-10 17:27:48.478329;2;0
RES;2017-10-10 17:27:54.491861;2;1
RES;2017-10-10 17:28:00.507565;2;2
RES;2017-10-10 17:28:06.526132;2;3
RES;2017-10-10 17:28:12.545487;3;0
RES;2017-10-10 17:28:18.574750;3;1
RES;2017-10-10 17:28:24.589600;3;2
RES;2017-10-10 17:28:30.603040;3;3
RES;2017-10-10 17:28:36.618445;4;0
RES;2017-10-10 17:28:42.635098;4;1
RES;2017-10-10 17:28:48.653503;4;2
RES;2017-10-10 17:28:54.678423;4;3
RES;2017-10-10 17:29:00.701138;5;0
RES;2017-10-10 17:29:06.718276;5;1
RES;2017-10-10 17:29:12.737738;5;2
RES;2017-10-10 17:29:18.778052;5;3
RES;2017-10-10 17:29:24.792700;6;0
RES;2017-10-10 17:29:30.806984;6;1
RES;2017-10-10 17:29:36.824087;6;2
RES;2017-10-10 17:29:42.840782;6;3
RES;2017-10-10 17:29:48.858736;7;0
RES;2017-10-10 17:29:54.882854;7;1
RES;2017-10-10 17:30:00.898674;7;2
RES;2017-10-10 17:30:06.913772;7;3
RES;2017-10-10 17:30:12.931446;8;0
RES;2017-10-10 17:30:18.948053;8;1
RES;2017-10-10 17:30:24.980143;8;2
RES;2017-10-10 17:30:30.991571;8;3
RES;2017-10-10 17:30:37.005863;9;0
RES;2017-10-10 17:30:43.022703;9;1
RES;2017-10-10 17:30:49.038716;9;2
RES;2017-10-10 17:30:55.055732;9;3
