RES;2017-10-11 14:09:14.378145;1;0
RES;2017-10-11 14:09:20.396463;1;1
RES;2017-10-11 14:09:26.414088;1;2
RES;2017-10-11 14:09:32.431183;1;3
RES;2017-10-11 14:09:38.449357;2;0
RES;2017-10-11 14:09:44.478892;2;1
RES;2017-10-11 14:09:50.494579;2;2
RES;2017-10-11 14:09:56.511719;2;3
RES;2017-10-11 14:10:02.529903;3;0
RES;2017-10-11 14:10:08.546407;3;1
RES;2017-10-11 14:10:14.562166;3;2
RES;2017-10-11 14:10:20.589685;3;3
RES;2017-10-11 14:10:26.621476;4;0
RES;2017-10-11 14:10:32.637687;4;1
RES;2017-10-11 14:10:38.651222;4;2
RES;2017-10-11 14:10:44.684395;4;3
RES;2017-10-11 14:10:50.700898;5;0
RES;2017-10-11 14:10:56.716976;5;1
RES;2017-10-11 14:11:02.731885;5;2
RES;2017-10-11 14:11:08.748827;5;3
RES;2017-10-11 14:11:14.765642;6;0
RES;2017-10-11 14:11:20.789756;6;1
RES;2017-10-11 14:11:26.806327;6;2
RES;2017-10-11 14:11:32.823761;6;3
RES;2017-10-11 14:11:38.840076;7;0
RES;2017-10-11 14:11:44.851852;7;1
RES;2017-10-11 14:11:50.885111;7;2
RES;2017-10-11 14:11:56.901388;7;3
RES;2017-10-11 14:12:02.918532;8;0
RES;2017-10-11 14:12:08.934636;8;1
RES;2017-10-11 14:12:14.952454;8;2
RES;2017-10-11 14:12:20.978109;8;3
RES;2017-10-11 14:12:26.993217;9;0
RES;2017-10-11 14:12:33.010130;9;1
RES;2017-10-11 14:12:39.028250;9;2
RES;2017-10-11 14:12:45.046243;9;3
